reason_for_recall,reason_lower,reason_cat,n
"Butter Creek Farms, Inc. is recalling Sprinkle Cookies due to undeclared Wheat, Egg and Soy.  The firm sold single product or combined this product with other products in gift boxes from the website http://cowchipcookies.com/index.htm.","butter creek farms, inc. is recalling sprinkle cookies due to undeclared wheat, egg and soy.  the firm sold single product or combined this product with other products in gift boxes from the website http://cowchipcookies.com/index.htm.",Undeclared allergen,1
The outer wraps match the liquid in the can (Zero Sugar - Mountain Dew Major Melon) however the primary package (can) is incorrect (Full Sugar Mountain Dew Major Melon). Product inside can matches the product/nutritional panel on the point-of-sale outer container wrap.,the outer wraps match the liquid in the can (zero sugar - mountain dew major melon) however the primary package (can) is incorrect (full sugar mountain dew major melon). product inside can matches the product/nutritional panel on the point-of-sale outer container wrap.,Other / Unspecified,1
Elevated levels of cadmium in plates,elevated levels of cadmium in plates,Chemical contamination / Toxins / Adulteration,1
"Wang Globalnet is recalling Surasang Chanbada Frozen Oyster IQF because it has been prepared, packed, or held under insanitary conditions whereby it may have become contaminated with filth, or whereby it may have been rendered injurious to health.","wang globalnet is recalling surasang chanbada frozen oyster iqf because it has been prepared, packed, or held under insanitary conditions whereby it may have become contaminated with filth, or whereby it may have been rendered injurious to health.",Regulatory / GMP / Process deviation,1
"Oregon Freeze Dry, Inc. is recalling Kirkland Signature brand Real Sliced Fruit due to contamination of Salmonella.","oregon freeze dry, inc. is recalling kirkland signature brand real sliced fruit due to contamination of salmonella.",Bacterial pathogen contamination,1
Undeclared peanuts (allergen),undeclared peanuts (allergen),Undeclared allergen,1
"Product contains undeclared certified colors (Yellow #6, Red #40, Yellow#6 Lake, and Blue #1).","product contains undeclared certified colors (yellow #6, red #40, yellow#6 lake, and blue #1).",Undeclared allergen,1
Mac & Cheese Shells (Product Code B254A1) sold under the Sweet Street Desserts brand in 12 oz. plastic bags is being recalled due to the presence of Listeria monocytogenes.,mac & cheese shells (product code b254a1) sold under the sweet street desserts brand in 12 oz. plastic bags is being recalled due to the presence of listeria monocytogenes.,Bacterial pathogen contamination,1
Clostridium botulinum (uneviscerated fish),clostridium botulinum (uneviscerated fish),Undeclared allergen,1
"Product is misbranded. Label indicates sugar free, however the product is actually sugar sweetened Coca Cola Cherry.","product is misbranded. label indicates sugar free, however the product is actually sugar sweetened coca cola cherry.",Labeling / Misbranding (non-allergen),1
Possible contamination with thin metal fragments.,possible contamination with thin metal fragments.,Foreign material,1
Undeclared Soy. Carrot Cake slices were inadvertently placed into some Chocolate Cake slice containers. The Chocolate Cake ingredient statement does not list the allergen soy which is in the Carrot Cake.,undeclared soy. carrot cake slices were inadvertently placed into some chocolate cake slice containers. the chocolate cake ingredient statement does not list the allergen soy which is in the carrot cake.,Undeclared allergen,1
"Korean Farm is recalling Assi Brand Korean Oysters because they have been prepared, packed, or held under insanitary conditions whereby they may have become contaminated with filth, or whereby they may have been rendered injurious to health.","korean farm is recalling assi brand korean oysters because they have been prepared, packed, or held under insanitary conditions whereby they may have become contaminated with filth, or whereby they may have been rendered injurious to health.",Regulatory / GMP / Process deviation,1
Evolution Fresh is recalling Organic Sweet Green and Ginger Juice out of an abundance of caution.,evolution fresh is recalling organic sweet green and ginger juice out of an abundance of caution.,Other / Unspecified,1
"Product contains elevated levels of lead (2,030 ppb)","product contains elevated levels of lead (2,030 ppb)",Chemical contamination / Toxins / Adulteration,1
"Ready to eat soup lists whey in the ingredient statement, but the product does not declare milk as the source for the allergen.","ready to eat soup lists whey in the ingredient statement, but the product does not declare milk as the source for the allergen.",Undeclared allergen,1
Product may have the potential for pathogen growth and toxin formation due to Clostridium botulinum.,product may have the potential for pathogen growth and toxin formation due to clostridium botulinum.,Microbial toxin / spore-forming contamination,1
Due to elevated levels of lead. Sample collected by Maryland Department Of Health (MDDH) tested positive for high levels of lead in ground cinnamon.,due to elevated levels of lead. sample collected by maryland department of health (mddh) tested positive for high levels of lead in ground cinnamon.,Chemical contamination / Toxins / Adulteration,1
"High Quality Organics was notified by a customer who received a lot of oregano in October 2012, recently tested last box of the shipment and found to be positive for Salmonella.","high quality organics was notified by a customer who received a lot of oregano in october 2012, recently tested last box of the shipment and found to be positive for salmonella.",Bacterial pathogen contamination,1
NYSDAM Analysis has revealed the presence of undeclared sulfites in Dried Apricots.,nysdam analysis has revealed the presence of undeclared sulfites in dried apricots.,Undeclared allergen,1
Foreign material (metal),foreign material (metal),Foreign material,1
The pH levels of these products are not accurately measured due to the use of outdated buffers and pH levels do not meet process specifications.,the ph levels of these products are not accurately measured due to the use of outdated buffers and ph levels do not meet process specifications.,Other / Unspecified,1
NYSDAM laboratory analysis report has revealed that Zele Bonboni Jelly Candy contains unallowed green colorant chlorophillyn.,nysdam laboratory analysis report has revealed that zele bonboni jelly candy contains unallowed green colorant chlorophillyn.,Other / Unspecified,1
Potential Egg Allergen contamination of Chocolate Milk.,potential egg allergen contamination of chocolate milk.,Undeclared allergen,1
"Product contains elevated levels of lead (2,040ppb).","product contains elevated levels of lead (2,040ppb).",Chemical contamination / Toxins / Adulteration,1
"Pimento cheese was mislabeled with an ingredient list, which did not declare the presence of mayonnaise, containing egg sub-ingredient.","pimento cheese was mislabeled with an ingredient list, which did not declare the presence of mayonnaise, containing egg sub-ingredient.",Undeclared allergen,1
"Walong Marketing, Inc. initiated the recall of Asian Taste Green Tea Pumpkin Seeds because it contains the ingredient sodium copper chlorophyllin, not permitted for use in food or food products sold in the U.S.","walong marketing, inc. initiated the recall of asian taste green tea pumpkin seeds because it contains the ingredient sodium copper chlorophyllin, not permitted for use in food or food products sold in the u.s.",Other / Unspecified,1
Product contains inorganic arsenic above action level set in industry guidance (13.2ppb),product contains inorganic arsenic above action level set in industry guidance (13.2ppb),Chemical contamination / Toxins / Adulteration,1
"Firm was notified by supplier that Wheat germ product is contaminated with metal fragments, approximately 0.5mm in diameter and range 3-15mm in length.","firm was notified by supplier that wheat germ product is contaminated with metal fragments, approximately 0.5mm in diameter and range 3-15mm in length.",Undeclared allergen,1
Northern Valley Baking Company did not declare milk or soy on the allergen statement of G'nache P'nache.,northern valley baking company did not declare milk or soy on the allergen statement of g'nache p'nache.,Undeclared allergen,1
Product may have become spoiled due to an elevated pH caused by dilute cleaning solution in the product.,product may have become spoiled due to an elevated ph caused by dilute cleaning solution in the product.,Spoilage / Quality defect,1
The recall was initiated because Mutual Trading Co. has confirmed that Tara Saikyozuke (cod fish with miso) contains undeclared soy.,the recall was initiated because mutual trading co. has confirmed that tara saikyozuke (cod fish with miso) contains undeclared soy.,Undeclared allergen,1
Proposition Chicken Ranch Dressing contains IQF Dill which is an ingredient recalled due to the presence of Listeria Monocytogenes.,proposition chicken ranch dressing contains iqf dill which is an ingredient recalled due to the presence of listeria monocytogenes.,Bacterial pathogen contamination,1
"Pacific Giant is recalling all frozen (IQF) oyster meat and 1/2 shell oysters from South Korea because the products have been prepared, packed, or held under insanitary conditions whereby it may have become contaminated with filth, or whereby it may have been rendered injurious to health.","pacific giant is recalling all frozen (iqf) oyster meat and 1/2 shell oysters from south korea because the products have been prepared, packed, or held under insanitary conditions whereby it may have become contaminated with filth, or whereby it may have been rendered injurious to health.",Regulatory / GMP / Process deviation,1
C. Pacific Foods is recalling canned mushroom sliced because it contains pesticide levels that are not approved for canned mushroom.,c. pacific foods is recalling canned mushroom sliced because it contains pesticide levels that are not approved for canned mushroom.,Chemical contamination / Toxins / Adulteration,1
Product contains levels of Vitamin D above the maximum level permitted.,product contains levels of vitamin d above the maximum level permitted.,Other / Unspecified,1
High levels of Yeast growth and film on top of jarred Kimchi product.,high levels of yeast growth and film on top of jarred kimchi product.,Spoilage / Quality defect,1
"Utz¿ Quality Foods, LLC., is voluntarily recalling select expiration dates of Utz¿ Carolina  Style Barbeque Potato Chips due to undeclared soy allergen.","utz¿ quality foods, llc., is voluntarily recalling select expiration dates of utz¿ carolina  style barbeque potato chips due to undeclared soy allergen.",Undeclared allergen,1
"Church and Dwight Co., Inc. has initiated a recall for Sodium Bicarbonate, USP produced by the Old Fort, OH Sodium Bicarbonate Production facility due to metal and other contamination.","church and dwight co., inc. has initiated a recall for sodium bicarbonate, usp produced by the old fort, oh sodium bicarbonate production facility due to metal and other contamination.",Foreign material,1
Potential for Listeria monocytogenes contamination.,potential for listeria monocytogenes contamination.,Bacterial pathogen contamination,1
Matiz Apricot Bar Demi-luna 8.8 ounces bar is recalled because customer found two small plastic pieces in the product.,matiz apricot bar demi-luna 8.8 ounces bar is recalled because customer found two small plastic pieces in the product.,Foreign material,1
"1) Milk not listed in ingredient statement, but listed in allergen warning statement and as a subingredient of sodium caseinate.  2) Undeclared corn  3) Undeclared crab, lobster and shrimp; allergen statement lists """"crustacean shellfish products""""","1) milk not listed in ingredient statement, but listed in allergen warning statement and as a subingredient of sodium caseinate.  2) undeclared corn  3) undeclared crab, lobster and shrimp; allergen statement lists """"crustacean shellfish products""""",Undeclared allergen,1
"1) Milk not listed as source of cream, cheese, or butter  2) Undeclared corn","1) milk not listed as source of cream, cheese, or butter  2) undeclared corn",Undeclared allergen,1
Microcystins level found to be above the specification limit of NMT1 ppm as per Raw Material Specification.,microcystins level found to be above the specification limit of nmt1 ppm as per raw material specification.,Other / Unspecified,1
"High mold, yeast, and total viable count","high mold, yeast, and total viable count",Spoilage / Quality defect,1
"1) milk not lsited as source of cream, cheese, or butter","1) milk not lsited as source of cream, cheese, or butter",Undeclared allergen,1
Undeclared peanut and coconut.,undeclared peanut and coconut.,Undeclared allergen,1
Product contains elevated levels of lead (3.294ppm),product contains elevated levels of lead (3.294ppm),Chemical contamination / Toxins / Adulteration,1
Positive field test for Salmonella.,positive field test for salmonella.,Bacterial pathogen contamination,1
"1) Undeclared corn  2) undeclared whiting, cod, and/or bream; pollock and whitefish listed in ingredient statement  3) undeclared wheat  4) undeclared Red 40  5) undeclared crab - crab in name of product","1) undeclared corn  2) undeclared whiting, cod, and/or bream; pollock and whitefish listed in ingredient statement  3) undeclared wheat  4) undeclared red 40  5) undeclared crab - crab in name of product",Undeclared allergen,1
Possible Salmonella contamination,possible salmonella contamination,Bacterial pathogen contamination,1
1) undeclared fish  2) undeclared soy lecithin - soy flour listed in ingredient statement  3) undeclared wheat,1) undeclared fish  2) undeclared soy lecithin - soy flour listed in ingredient statement  3) undeclared wheat,Undeclared allergen,1
"Bay State Milling Company is recalling  select lot codes of bran produced in its Winona, MN mill between February 10, 2014 and March 7, 2014.  The decision to voluntarily recall the product is based upon findings of metal fragments in the product.","bay state milling company is recalling  select lot codes of bran produced in its winona, mn mill between february 10, 2014 and march 7, 2014.  the decision to voluntarily recall the product is based upon findings of metal fragments in the product.",Foreign material,1
Grizzlies Brand and Grizzlies Granolas Oregon Trail Mix are recalled due to undeclared milk.,grizzlies brand and grizzlies granolas oregon trail mix are recalled due to undeclared milk.,Undeclared allergen,1
The product is being recalled due to an undeclared allergen of peanuts in the ingredient statement.,the product is being recalled due to an undeclared allergen of peanuts in the ingredient statement.,Undeclared allergen,1
Frozen Organic Peas product is recalled due to a potential for contamination with Listeria monocytogenes.,frozen organic peas product is recalled due to a potential for contamination with listeria monocytogenes.,Bacterial pathogen contamination,1
"Lipari Foods, LLC has issued a voluntary recall of Premo Brand and Fresh Grab turkey and Swiss submarine sandwiches produced and packaged by sister company JLM due to potential contamination of Listeria monocytogenes","lipari foods, llc has issued a voluntary recall of premo brand and fresh grab turkey and swiss submarine sandwiches produced and packaged by sister company jlm due to potential contamination of listeria monocytogenes",Bacterial pathogen contamination,1
Organic White Sweet Corn is recalled due to a potential for contamination with Listeria monocytogenes.,organic white sweet corn is recalled due to a potential for contamination with listeria monocytogenes.,Bacterial pathogen contamination,1
Product is at risk for growth of Clostridium botulinum,product is at risk for growth of clostridium botulinum,Microbial toxin / spore-forming contamination,1
"El Campestre initiated this recall due to the following reason: mislabeling: does not contain Basa fish, it contains Swai fish.","el campestre initiated this recall due to the following reason: mislabeling: does not contain basa fish, it contains swai fish.",Undeclared allergen,1
Organic Organic Mixed Vegetables product is recalled due to a potential for contamination with Listeria monocytogenes.,organic organic mixed vegetables product is recalled due to a potential for contamination with listeria monocytogenes.,Bacterial pathogen contamination,1
Failure to declare peanut butter in the ingredients statement.  Product has correct top label with incorrect back panel label.,failure to declare peanut butter in the ingredients statement.  product has correct top label with incorrect back panel label.,Undeclared allergen,1
Organic Premium Blend Vegetable Medley with Shelled Edamame product is recalled due to a potential for contamination with Listeria monocytogenes.,organic premium blend vegetable medley with shelled edamame product is recalled due to a potential for contamination with listeria monocytogenes.,Bacterial pathogen contamination,1
"El Campestre initiated this recall due to the following reason: mislabeling: Shrimp not listed in English, but the whole shrimp are visible.","el campestre initiated this recall due to the following reason: mislabeling: shrimp not listed in english, but the whole shrimp are visible.",Labeling / Misbranding (non-allergen),1
"El Campestre initiated this recall due to the following reason: shrimp are not listed in English, but the whole shrimp are visible.","el campestre initiated this recall due to the following reason: shrimp are not listed in english, but the whole shrimp are visible.",Other / Unspecified,1
Foreign Material Contamination - Ball point pen,foreign material contamination - ball point pen,Foreign material,1
Consumer complaints of product spoilage.  Per the manufacturer this issue is premature spoilage due to the presence of Lactic Acid producing bacteria.,consumer complaints of product spoilage.  per the manufacturer this issue is premature spoilage due to the presence of lactic acid producing bacteria.,Spoilage / Quality defect,1
"SunOpta Ingredients Group, Cambridge, MN is voluntarily withdrawing from the market a number of lots of Canadian Harvest¿ Oat Fiber 300-33 because of the possible contamination caused by Cronobactor sakazakii.","sunopta ingredients group, cambridge, mn is voluntarily withdrawing from the market a number of lots of canadian harvest¿ oat fiber 300-33 because of the possible contamination caused by cronobactor sakazakii.",Other / Unspecified,1
"Hummus, 1.5 oz. plastic portion cups with foil peel lids, is recalled due to a potential to be contaminated with Listeria monocytogenes.","hummus, 1.5 oz. plastic portion cups with foil peel lids, is recalled due to a potential to be contaminated with listeria monocytogenes.",Bacterial pathogen contamination,1
Failure to declare wheat on the labeling.,failure to declare wheat on the labeling.,Undeclared allergen,1
"Navy Beans with the can code MDSB S1GTD best by 7/18/14 are recalled  due to undeclared soy.  Truitt Bros,. Inc discovered that some canned chili beans were labeled as Navy Beans and soy was not declared on the Navy Beans label.","navy beans with the can code mdsb s1gtd best by 7/18/14 are recalled  due to undeclared soy.  truitt bros,. inc discovered that some canned chili beans were labeled as navy beans and soy was not declared on the navy beans label.",Undeclared allergen,1
Garlic Hummus is recalled due to a potential contamination with Listeria monocytogenes.,garlic hummus is recalled due to a potential contamination with listeria monocytogenes.,Bacterial pathogen contamination,1
Undeclared allergens on the labeling.,undeclared allergens on the labeling.,Undeclared allergen,1
"On the evening of Friday, July 6, 2012, Ingredion, Inc. (f/k/a Corn Products U.S., Inc.) the supplier of Galactooligosaccharide (GOS), an ingredient included, in iFlora¿ Kids Multi Probiotic, notified our contract manufacturer that two lots of  their GOS material supplied for inclusion in our products were being recalled for a suspected salmonella contamination. Although our contract manufacturer","on the evening of friday, july 6, 2012, ingredion, inc. (f/k/a corn products u.s., inc.) the supplier of galactooligosaccharide (gos), an ingredient included, in iflora¿ kids multi probiotic, notified our contract manufacturer that two lots of  their gos material supplied for inclusion in our products were being recalled for a suspected salmonella contamination. although our contract manufacturer",Bacterial pathogen contamination,1
Creamy Hummus is recalled due to a potential contamination with Listeria monocytogenes.,creamy hummus is recalled due to a potential contamination with listeria monocytogenes.,Bacterial pathogen contamination,1
"Mixed Vegetables (contains Carrots, Corn, and Peas) are recalled because they have the potential to be contaminated with Listeria monocytogenes.","mixed vegetables (contains carrots, corn, and peas) are recalled because they have the potential to be contaminated with listeria monocytogenes.",Bacterial pathogen contamination,1
All canned salmon manufactured by YWAM Faith Harvest Helpers is recalled due to the firm not having a scheduled process for manufacturing the low-acid canned food product.,all canned salmon manufactured by ywam faith harvest helpers is recalled due to the firm not having a scheduled process for manufacturing the low-acid canned food product.,Other / Unspecified,1
Laboratory test results found the product has arsenic at a level of 36.4 parts per billion (ppb).,laboratory test results found the product has arsenic at a level of 36.4 parts per billion (ppb).,Chemical contamination / Toxins / Adulteration,1
Hummus De Gallo is recalled due to a potential contamination with Listeria monocytogenes.,hummus de gallo is recalled due to a potential contamination with listeria monocytogenes.,Bacterial pathogen contamination,1
Broccoli & Cauliflower are recalled because they have the potential to be contaminated with Listeria monocytogenes.,broccoli & cauliflower are recalled because they have the potential to be contaminated with listeria monocytogenes.,Bacterial pathogen contamination,1
Some containers of ice cream in a Peanut Butter Cup flavor container have a Butter Pecan flavor lid and are filled with Butter Pecan ice cream.,some containers of ice cream in a peanut butter cup flavor container have a butter pecan flavor lid and are filled with butter pecan ice cream.,Undeclared allergen,1
Product tested positive for the presence of coliforms,product tested positive for the presence of coliforms,Other / Unspecified,1
Roasted Red Pepper Hummus is recalled due to a potential contamination with Listeria monocytogenes.,roasted red pepper hummus is recalled due to a potential contamination with listeria monocytogenes.,Bacterial pathogen contamination,1
Peas & Carrots are recalled because they have the potential to be contaminated with Listeria monocytogenes.,peas & carrots are recalled because they have the potential to be contaminated with listeria monocytogenes.,Bacterial pathogen contamination,1
Whey powder may have the potential to be contaminated with Salmonella.,whey powder may have the potential to be contaminated with salmonella.,Bacterial pathogen contamination,1
"The ice cream products may contain undeclared eggs.  A flavoring containing egg yolks was used as an ingredient in the products, and the ingredient statement on the product package did not reveal the presence of eggs.","the ice cream products may contain undeclared eggs.  a flavoring containing egg yolks was used as an ingredient in the products, and the ingredient statement on the product package did not reveal the presence of eggs.",Undeclared allergen,1
Jalapeno Hummus is recalled due to a potential contamination with Listeria monocytogenes.,jalapeno hummus is recalled due to a potential contamination with listeria monocytogenes.,Bacterial pathogen contamination,1
"Asparagus, Corn, & Carrots are recalled because they have the potential to be contaminated with Listeria monocytogenes.","asparagus, corn, & carrots are recalled because they have the potential to be contaminated with listeria monocytogenes.",Bacterial pathogen contamination,1
Black Bean Hummus is recalled due to a potential contamination with Listeria monocytogenes.,black bean hummus is recalled due to a potential contamination with listeria monocytogenes.,Bacterial pathogen contamination,1
Bean & Carrot blend is recalled because it has the potential to be contaminated with Listeria monocytogenes.,bean & carrot blend is recalled because it has the potential to be contaminated with listeria monocytogenes.,Bacterial pathogen contamination,1
Sun-Dried Tomatoes Hummus is recalled due to a potential contamination with Listeria monocytogenes.,sun-dried tomatoes hummus is recalled due to a potential contamination with listeria monocytogenes.,Bacterial pathogen contamination,1
"Beans, Carrots, Corn, Peas, and Edamame mixes are recalled because they have the potential to be contaminated with Listeria monocytogenes.","beans, carrots, corn, peas, and edamame mixes are recalled because they have the potential to be contaminated with listeria monocytogenes.",Bacterial pathogen contamination,1
Organic Peas & Pearl Onions are recalled because they have the potential to be contaminated with Listeria monocytogenes.,organic peas & pearl onions are recalled because they have the potential to be contaminated with listeria monocytogenes.,Bacterial pathogen contamination,1
"Red, Green, and Yellow Pepper Strips are recalled because they have the potential to be contaminated with Listeria monocytogenes.","red, green, and yellow pepper strips are recalled because they have the potential to be contaminated with listeria monocytogenes.",Bacterial pathogen contamination,1
Fuji Food Products is recalling Hawaiian Delight due to a potential Listeria monocytogenes.,fuji food products is recalling hawaiian delight due to a potential listeria monocytogenes.,Bacterial pathogen contamination,1
"Potoatoes, Beans, Peppers, and Mushrooms mixes are recalled because they have the potential to be contaminated with Listeria monocytogenes.","potoatoes, beans, peppers, and mushrooms mixes are recalled because they have the potential to be contaminated with listeria monocytogenes.",Bacterial pathogen contamination,1
"MAMTAKIM Inc.,888 Magnolia Ave, Elizabeth NJ 07201 is initiating a recall of  Scortisoara macinata/ Ground cinnamon, 15 g, Paper cartons, 20 pieces per paper carton, Code: 10C035 because the ground cinnamon product contain elevated levels of lead .","mamtakim inc.,888 magnolia ave, elizabeth nj 07201 is initiating a recall of  scortisoara macinata/ ground cinnamon, 15 g, paper cartons, 20 pieces per paper carton, code: 10c035 because the ground cinnamon product contain elevated levels of lead .",Chemical contamination / Toxins / Adulteration,1
Sub ingredient of Worcestershire sauce (anchovy) was not listed on finished product label.,sub ingredient of worcestershire sauce (anchovy) was not listed on finished product label.,Other / Unspecified,1
Organic Root Medley is recalled because it has the potential to be contaminated with Listeria monocytogenes.,organic root medley is recalled because it has the potential to be contaminated with listeria monocytogenes.,Bacterial pathogen contamination,1
Potential L. monocytogenes,potential l. monocytogenes,Bacterial pathogen contamination,1
"Christ Kitchen is recalling Blameless Blondies, a dry bakery mix, because milk, soy and wheat allergens are not declared in product labeling.","christ kitchen is recalling blameless blondies, a dry bakery mix, because milk, soy and wheat allergens are not declared in product labeling.",Undeclared allergen,1
"Beans, Carrots, Corn, and Peas mixes are recalled because they have the potential to be contaminated with Listeria monocytogenes.","beans, carrots, corn, and peas mixes are recalled because they have the potential to be contaminated with listeria monocytogenes.",Bacterial pathogen contamination,1
Fresh Foods Corporation of America dba Cyrus O'Leary's Pies is recalling singe serve Sour Cream Lemon pies due to undeclared coconut and sulfites.,fresh foods corporation of america dba cyrus o'leary's pies is recalling singe serve sour cream lemon pies due to undeclared coconut and sulfites.,Undeclared allergen,1
Stir Fry Vegetable is recalled because it has the potential to be contaminated with Listeria monocytogenes.,stir fry vegetable is recalled because it has the potential to be contaminated with listeria monocytogenes.,Bacterial pathogen contamination,1
Finished product label stated feta but did not declare milk in the sub-ingredients or allergen statement.,finished product label stated feta but did not declare milk in the sub-ingredients or allergen statement.,Undeclared allergen,1
"Lipari Foods of Warren, MI is recalling Wholey peeled, cooked, tail-on 31/40 count shrimp, because it has the potential to be contaminated with Salmonella, an organism which can cause serious and sometimes fatal infections in young children, frail or elderly people, and others with weakened immune systems.","lipari foods of warren, mi is recalling wholey peeled, cooked, tail-on 31/40 count shrimp, because it has the potential to be contaminated with salmonella, an organism which can cause serious and sometimes fatal infections in young children, frail or elderly people, and others with weakened immune systems.",Bacterial pathogen contamination,1
The product contains more yohimbine hcl than declared on the label,the product contains more yohimbine hcl than declared on the label,Other / Unspecified,1
Square Mile Original Hard Apple Cider is recalled because bottles may burst.,square mile original hard apple cider is recalled because bottles may burst.,Other / Unspecified,1
"Fiesta Pacific is recalling all Brown Label Horchata due a formulation error and no process on file to prevent the growth of potentially harmful bacteria, including Clostridium botulinum.","fiesta pacific is recalling all brown label horchata due a formulation error and no process on file to prevent the growth of potentially harmful bacteria, including clostridium botulinum.",Microbial toxin / spore-forming contamination,1
The cultured nonfat buttermilk ingredient used in production of the Salad Crispins was recalled by the supplier due to potential metal fragment contamination associated with the lactic acid used in production of the ingredient.,the cultured nonfat buttermilk ingredient used in production of the salad crispins was recalled by the supplier due to potential metal fragment contamination associated with the lactic acid used in production of the ingredient.,Undeclared allergen,1
Square Mile Spur & Vine Hopped Apple Cider is recalled because bottles may burst.,square mile spur & vine hopped apple cider is recalled because bottles may burst.,Other / Unspecified,1
Cacao moth in the almonds of the chocolate bar.,cacao moth in the almonds of the chocolate bar.,Undeclared allergen,1
Organic California Harvest is recalled because it has the potential to be contaminated with Listeria monocytogenes.,organic california harvest is recalled because it has the potential to be contaminated with listeria monocytogenes.,Bacterial pathogen contamination,1
Finished product label stated almond in the product name but did not declare tree nuts or almonds in the ingredients or allergen statement.,finished product label stated almond in the product name but did not declare tree nuts or almonds in the ingredients or allergen statement.,Undeclared allergen,1
"Aqua Star Raw Frozen Shrimp Easy-Peel Shell-On, Ready to Cook, 1 lb. plastic bags, date code SGE-12/282 was recalled due to Salmonella.","aqua star raw frozen shrimp easy-peel shell-on, ready to cook, 1 lb. plastic bags, date code sge-12/282 was recalled due to salmonella.",Bacterial pathogen contamination,1
Stew Vegetables are recalled because they have the potential to be contaminated with Listeria monocytogenes.,stew vegetables are recalled because they have the potential to be contaminated with listeria monocytogenes.,Bacterial pathogen contamination,1
Finished product label stated cheese in the product name but did not declare milk in the ingredients or allergen statement.,finished product label stated cheese in the product name but did not declare milk in the ingredients or allergen statement.,Undeclared allergen,1
Golden Beach Inc. is recalling Sunny Sea Sardines in Tomato Sauce  for decomposition.,golden beach inc. is recalling sunny sea sardines in tomato sauce  for decomposition.,Other / Unspecified,1
Crown Naturals Trail Mix was sampled and found to contain undeclared FD&C Yellow #6.,crown naturals trail mix was sampled and found to contain undeclared fd&c yellow #6.,Undeclared allergen,1
Mini Bow Tie Pasta and Vegetable Blend is recalled because it has the potential to be contaminated with Listeria monocytogenes.,mini bow tie pasta and vegetable blend is recalled because it has the potential to be contaminated with listeria monocytogenes.,Bacterial pathogen contamination,1
an ingredient in this product was manufactured during the time-frame and on the same piece of equipment that was associated with a salmonella outbreak.,an ingredient in this product was manufactured during the time-frame and on the same piece of equipment that was associated with a salmonella outbreak.,Bacterial pathogen contamination,1
Allergens were declared but the finished product label incorrectly listed ingredients of Almond Croissant.,allergens were declared but the finished product label incorrectly listed ingredients of almond croissant.,Undeclared allergen,1
One packaging run of 8 oz. Classic Red Hearts with Assorted Chocolates was packaged in the wrong box and does not include tree nuts in the ingredient statement.,one packaging run of 8 oz. classic red hearts with assorted chocolates was packaged in the wrong box and does not include tree nuts in the ingredient statement.,Undeclared allergen,1
Organic Stir Fry is recalled because it has the potential to be contaminated with Listeria monocytogenes.,organic stir fry is recalled because it has the potential to be contaminated with listeria monocytogenes.,Bacterial pathogen contamination,1
"The Ingredients statement declared wheat, egg, and milk but the Contains statement declared only wheat.  Product contains butter but label does not declare milk.","the ingredients statement declared wheat, egg, and milk but the contains statement declared only wheat.  product contains butter but label does not declare milk.",Undeclared allergen,1
Cheerios Protein Oats and Honey cereal may be contaminated with Salmonella.,cheerios protein oats and honey cereal may be contaminated with salmonella.,Bacterial pathogen contamination,1
Supreme Garden Stir-Fry is recalled because it has the potential to be contaminated with Listeria monocytogenes.,supreme garden stir-fry is recalled because it has the potential to be contaminated with listeria monocytogenes.,Bacterial pathogen contamination,1
Duane Reade is recalling Pediatric Oral Electrolyte Solution because of deficient sodium and potassium content.,duane reade is recalling pediatric oral electrolyte solution because of deficient sodium and potassium content.,Other / Unspecified,1
The firm has issued a recall on Giant Eagle Candy Place Chocolate Covered Peanuts with UPC 3003404313.  The product has whey in the ingredients and the label does not clearly state that there is a milk allergen.  (only whey is listed in the ingredient statement).,the firm has issued a recall on giant eagle candy place chocolate covered peanuts with upc 3003404313.  the product has whey in the ingredients and the label does not clearly state that there is a milk allergen.  (only whey is listed in the ingredient statement).,Undeclared allergen,1
Supreme Fiesta Blend is recalled because it has the potential to be contaminated with Listeria monocytogenes.,supreme fiesta blend is recalled because it has the potential to be contaminated with listeria monocytogenes.,Bacterial pathogen contamination,1
Tuna tested positive for histamines over 50ppm,tuna tested positive for histamines over 50ppm,Chemical contamination / Toxins / Adulteration,1
Harvest Vegetable Blend is recalled because it has the potential to be contaminated with Listeria monocytogenes.,harvest vegetable blend is recalled because it has the potential to be contaminated with listeria monocytogenes.,Bacterial pathogen contamination,1
The product may contain undeclared peanuts.,the product may contain undeclared peanuts.,Undeclared allergen,1
Garden Blend Vegetables is recalled because it has the potential to be contaminated with Listeria monocytogenes.,garden blend vegetables is recalled because it has the potential to be contaminated with listeria monocytogenes.,Bacterial pathogen contamination,1
"Product contains undeclared sugar. Full sugar root beer was packaged in bottles labeled ""sugar free""","product contains undeclared sugar. full sugar root beer was packaged in bottles labeled ""sugar free""",Undeclared allergen,1
"Olde Thompson Inc. Oxnard, CA is recalling Earths Pride Organics: Organic Oregano packaged in a 2.2 oz. glass jar with cork closure, Lot #: 060367, 060692, 061252 and 061864 due to Salmonella.","olde thompson inc. oxnard, ca is recalling earths pride organics: organic oregano packaged in a 2.2 oz. glass jar with cork closure, lot #: 060367, 060692, 061252 and 061864 due to salmonella.",Bacterial pathogen contamination,1
