reason_for_recall,reason_lower,reason_cat,n
Product was manufactured with flour recalled due to E. coli O121 contamination.,product was manufactured with flour recalled due to e. coli o121 contamination.,Bacterial pathogen contamination,27
May be contaminated with Listeria monocytogenes,may be contaminated with listeria monocytogenes,Bacterial pathogen contamination,27
Zingerman's BAKEHOUSE pastry labels were found  not identifying the source of butter and cream ingredients as milk and the source of flour as wheat.,zingerman's bakehouse pastry labels were found  not identifying the source of butter and cream ingredients as milk and the source of flour as wheat.,Undeclared allergen,27
Listeria monocyotgenes contamination,listeria monocyotgenes contamination,Bacterial pathogen contamination,27
Bakery products which contain an ingredient which contain egg do not declare egg on the label,bakery products which contain an ingredient which contain egg do not declare egg on the label,Undeclared allergen,27
Inspection by the California Department of Public Health found undeclared allergens in numerous bakery products.,inspection by the california department of public health found undeclared allergens in numerous bakery products.,Undeclared allergen,26
Possible contamination with Salmonella,possible contamination with salmonella,Bacterial pathogen contamination,26
Products held under insanitary conditions,products held under insanitary conditions,Regulatory / GMP / Process deviation,26
Potential presence of food-grade rubber pieces.,potential presence of food-grade rubber pieces.,Foreign material,26
Possible metal fragments in Yogurt Bars,possible metal fragments in yogurt bars,Foreign material,26
"Schmidt Baking Company has decided to initiate a recall of various bread products, after being informed by one of their vendors that the ingredient supplied to them by the vendor is under recall.  Potential of foreign material in product.","schmidt baking company has decided to initiate a recall of various bread products, after being informed by one of their vendors that the ingredient supplied to them by the vendor is under recall.  potential of foreign material in product.",Foreign material,26
"Potential Foreign Material - Metal, Wood, Gasket Material, and/or Sifter balls","potential foreign material - metal, wood, gasket material, and/or sifter balls",Foreign material,26
Simply Fresh Fruit is recalling cantaloupe and fruit mixes with cantaloupe because they may be contaminated with Listeria monocytogenes.,simply fresh fruit is recalling cantaloupe and fruit mixes with cantaloupe because they may be contaminated with listeria monocytogenes.,Bacterial pathogen contamination,26
Products have been recalled due to potential for Salmonella contamination.,products have been recalled due to potential for salmonella contamination.,Bacterial pathogen contamination,26
"All Kratom products manufactured, processed, packed, and/or held by Triangle Pharmanaaturals LLC have the potential to be contaminated with Salmonella","all kratom products manufactured, processed, packed, and/or held by triangle pharmanaaturals llc have the potential to be contaminated with salmonella",Bacterial pathogen contamination,26
Potential to be contaminated with Salmonella,potential to be contaminated with salmonella,Bacterial pathogen contamination,25
Karoun Dairies is recalling all cheese manufactured from an identified manufacturer due to potential Listeria monocytogenes contamination.,karoun dairies is recalling all cheese manufactured from an identified manufacturer due to potential listeria monocytogenes contamination.,Bacterial pathogen contamination,25
"There is a possibility that a part of the nozzle cap of the bottle can become dislodged through abuse (i.e. excessive chewing) then possibly ingested, and posing a potential health/safety hazard.  The cap in question is no longer used by ABC and was last produced in September of 2011.  Firm does not anticipate finding any impacted product in the market.","there is a possibility that a part of the nozzle cap of the bottle can become dislodged through abuse (i.e. excessive chewing) then possibly ingested, and posing a potential health/safety hazard.  the cap in question is no longer used by abc and was last produced in september of 2011.  firm does not anticipate finding any impacted product in the market.",Other / Unspecified,25
Products are potentially contaminated with Salmonella.,products are potentially contaminated with salmonella.,Bacterial pathogen contamination,25
Recall initiated after notification from supplier of recall of frozen shrimp due to Salmonella contamination that had been used in sushi products.,recall initiated after notification from supplier of recall of frozen shrimp due to salmonella contamination that had been used in sushi products.,Bacterial pathogen contamination,25
Wysong Corporation is conducting a voluntary recall of multiple varieties of Protein Key brand protein meals due to undeclared allergen soy.,wysong corporation is conducting a voluntary recall of multiple varieties of protein key brand protein meals due to undeclared allergen soy.,Undeclared allergen,25
Possibly contaminated with Listeria monocytogenes,possibly contaminated with listeria monocytogenes,Bacterial pathogen contamination,25
